State,Measure ID,Score,Start Date,End Date
IL,HAI_6_SIR,0.518,10/01/2021,09/30/2022
IN,HAI_1_SIR,0.813,10/01/2021,09/30/2022
IN,HAI_2_SIR,0.683,10/01/2021,09/30/2022
IN,HAI_3_SIR,0.897,10/01/2021,09/30/2022
IN,HAI_4_SIR,0.989,10/01/2021,09/30/2022
IN,HAI_5_SIR,0.931,10/01/2021,09/30/2022
IN,HAI_6_SIR,0.464,10/01/2021,09/30/2022
KS,HAI_1_SIR,0.939,10/01/2021,09/30/2022
KS,HAI_2_SIR,0.733,10/01/2021,09/30/2022
KS,HAI_3_SIR,0.953,10/01/2021,09/30/2022
KS,HAI_4_SIR,0.656,10/01/2021,09/30/2022
KS,HAI_5_SIR,0.665,10/01/2021,09/30/2022
KS,HAI_6_SIR,0.652,10/01/2021,09/30/2022
KY,HAI_1_SIR,1.244,10/01/2021,09/30/2022
KY,HAI_2_SIR,0.761,10/01/2021,09/30/2022
KY,HAI_3_SIR,0.851,10/01/2021,09/30/2022
KY,HAI_4_SIR,0.786,10/01/2021,09/30/2022
KY,HAI_5_SIR,1.236,10/01/2021,09/30/2022
KY,HAI_6_SIR,0.517,10/01/2021,09/30/2022
LA,HAI_1_SIR,1.025,10/01/2021,09/30/2022
LA,HAI_2_SIR,0.566,10/01/2021,09/30/2022
LA,HAI_3_SIR,0.940,10/01/2021,09/30/2022
LA,HAI_4_SIR,1.129,10/01/2021,09/30/2022
LA,HAI_5_SIR,1.285,10/01/2021,09/30/2022
LA,HAI_6_SIR,0.424,10/01/2021,09/30/2022
MA,HAI_1_SIR,0.777,10/01/2021,09/30/2022
MA,HAI_2_SIR,0.937,10/01/2021,09/30/2022
MA,HAI_3_SIR,1.033,10/01/2021,09/30/2022
MA,HAI_4_SIR,0.643,10/01/2021,09/30/2022
MA,HAI_5_SIR,0.687,10/01/2021,09/30/2022
MA,HAI_6_SIR,0.641,10/01/2021,09/30/2022
MD,HAI_1_SIR,1.079,10/01/2021,09/30/2022
MD,HAI_2_SIR,0.757,10/01/2021,09/30/2022
MD,HAI_3_SIR,0.858,10/01/2021,09/30/2022
MD,HAI_4_SIR,1.483,10/01/2021,09/30/2022
MD,HAI_5_SIR,0.902,10/01/2021,09/30/2022
MD,HAI_6_SIR,0.590,10/01/2021,09/30/2022
ME,HAI_1_SIR,0.955,10/01/2021,09/30/2022
ME,HAI_2_SIR,1.024,10/01/2021,09/30/2022
ME,HAI_3_SIR,0.999,10/01/2021,09/30/2022
ME,HAI_4_SIR,0.521,10/01/2021,09/30/2022
ME,HAI_5_SIR,0.896,10/01/2021,09/30/2022
ME,HAI_6_SIR,0.626,10/01/2021,09/30/2022
MI,HAI_1_SIR,1.035,10/01/2021,09/30/2022
MI,HAI_2_SIR,0.673,10/01/2021,09/30/2022
MI,HAI_3_SIR,1.225,10/01/2021,09/30/2022
MI,HAI_4_SIR,1.195,10/01/2021,09/30/2022
MI,HAI_5_SIR,1.141,10/01/2021,09/30/2022
MI,HAI_6_SIR,0.521,10/01/2021,09/30/2022
MN,HAI_1_SIR,0.772,10/01/2021,09/30/2022
MN,HAI_2_SIR,0.872,10/01/2021,09/30/2022
MN,HAI_3_SIR,0.879,10/01/2021,09/30/2022
MN,HAI_4_SIR,1.328,10/01/2021,09/30/2022
MN,HAI_5_SIR,0.571,10/01/2021,09/30/2022
MN,HAI_6_SIR,0.578,10/01/2021,09/30/2022
MO,HAI_1_SIR,0.892,10/01/2021,09/30/2022
MO,HAI_2_SIR,0.683,10/01/2021,09/30/2022
MO,HAI_3_SIR,0.907,10/01/2021,09/30/2022
MO,HAI_4_SIR,0.694,10/01/2021,09/30/2022
MO,HAI_5_SIR,0.967,10/01/2021,09/30/2022
MO,HAI_6_SIR,0.594,10/01/2021,09/30/2022
MS,HAI_1_SIR,1.192,10/01/2021,09/30/2022
MS,HAI_2_SIR,0.643,10/01/2021,09/30/2022
MS,HAI_3_SIR,1.080,10/01/2021,09/30/2022
MS,HAI_4_SIR,1.238,10/01/2021,09/30/2022
MS,HAI_5_SIR,1.370,10/01/2021,09/30/2022
MS,HAI_6_SIR,0.430,10/01/2021,09/30/2022
MT,HAI_1_SIR,0.820,10/01/2021,09/30/2022
MT,HAI_2_SIR,0.561,10/01/2021,09/30/2022
MT,HAI_3_SIR,0.907,10/01/2021,09/30/2022
MT,HAI_4_SIR,1.065,10/01/2021,09/30/2022
MT,HAI_5_SIR,0.649,10/01/2021,09/30/2022
MT,HAI_6_SIR,0.547,10/01/2021,09/30/2022
